id;domaine_code;domaine;sous_domaine_code;sous_domaine;niveau;competence;origine
LAN-VOC-PS-01;LAN;Le développement et la structuration du langage oral et écrit;VOC;Enrichir son vocabulaire;PS;Je comprends les nouveaux mots qu'on m'apprend à l'école.;enseignant
LAN-VOC-PS-02;LAN;Le développement et la structuration du langage oral et écrit;VOC;Enrichir son vocabulaire;PS;Je retiens et j'utilise les nouveaux mots qu'on m'apprend à l'école.;enseignant
LAN-VOC-PS-03;LAN;Le développement et la structuration du langage oral et écrit;VOC;Enrichir son vocabulaire;PS;Je sais regrouper les mots qui vont ensemble.;enseignant
LAN-VOC-PS-04;LAN;Le développement et la structuration du langage oral et écrit;VOC;Enrichir son vocabulaire;PS;Je trouve l'intrus dans un groupe de mots.;enseignant
LAN-VOC-MS-01;LAN;Le développement et la structuration du langage oral et écrit;VOC;Enrichir son vocabulaire;MS;Je continue d'apprendre de nouveaux mots plus précis pour décrire ce qui m'entoure et pour raconter des histoires.;enseignant
LAN-VOC-MS-02;LAN;Le développement et la structuration du langage oral et écrit;VOC;Enrichir son vocabulaire;MS;J'organise les mots par catégories.;enseignant
LAN-VOC-MS-03;LAN;Le développement et la structuration du langage oral et écrit;VOC;Enrichir son vocabulaire;MS;Je comprends que certains mots peuvent avoir plusieurs sens (comme glace).;enseignant
LAN-VOC-MS-04;LAN;Le développement et la structuration du langage oral et écrit;VOC;Enrichir son vocabulaire;MS;Je m'appuie sur des mots que je connais pour comprendre un mot nouveau (animal / animalerie).;programme
LAN-VOC-MS-05;LAN;Le développement et la structuration du langage oral et écrit;VOC;Enrichir son vocabulaire;MS;Je trouve des mots qui veulent dire la même chose (synonymes).;programme
LAN-VOC-GS-01;LAN;Le développement et la structuration du langage oral et écrit;VOC;Enrichir son vocabulaire;GS;J'enrichis mon vocabulaire avec des mots sur les émotions.;enseignant
LAN-VOC-GS-02;LAN;Le développement et la structuration du langage oral et écrit;VOC;Enrichir son vocabulaire;GS;Je sais relier les mots entre eux.;enseignant
LAN-VOC-GS-03;LAN;Le développement et la structuration du langage oral et écrit;VOC;Enrichir son vocabulaire;GS;Je sais créer des mots dérivés.;enseignant
LAN-VOC-GS-04;LAN;Le développement et la structuration du langage oral et écrit;VOC;Enrichir son vocabulaire;GS;Je sais deviner le sens de mots que je ne connais pas.;enseignant
LAN-VOC-GS-05;LAN;Le développement et la structuration du langage oral et écrit;VOC;Enrichir son vocabulaire;GS;Je distingue le sens propre du sens figuré (dévorer un gâteau / dévorer un livre).;programme
